Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
221;145506;"Journal of Physical Studies";journal;"10274642, 23100052";0,173;Q4;10;29;73;725;31;73;0,58;25,00;Ukraine;"Ivan Franko National University of Lviv";"2004-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
222;18300156736;"Acta Scientiarum - Technology";journal;"18078664, 18062563";0,170;Q4;14;60;191;1643;88;190;0,41;27,38;Brazil;"Universidade Estadual de Maringa";"2008-ongoing";"Engineering (miscellaneous) (Q2); Computer Science (miscellaneous) (Q3); Earth and Planetary Sciences (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
223;21100258766;"Proceedings of the International School of Physics "Enrico Fermi"";conference and proceedings;"00002006, 00002013";0,170;-;9;20;64;476;12;54;0,27;23,80;Netherlands;"";"2006-2013";"Physics and Astronomy (miscellaneous)"
224;19700186835;"Journal of Computational Multiphase Flows";journal;"1757482X";0,169;Q4;12;22;47;622;30;46;0,62;28,27;United Kingdom;"SAGE Publications Inc.";"2009-ongoing";"Engineering (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q4)"
225;21100391500;"Proceedings of the Indian National Science Academy";journal;"03700046";0,169;Q4;12;71;290;4372;123;267;0,50;61,58;India;"Indian National Science Academy";"2005-ongoing";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
226;21100454952;"2015 International Conference on Recent Developments in Control, Automation and Power Engineering, RDCAPE 2015";conference and proceedings;"00002015";0,164;-;5;0;72;0;58;70;0,00;0,00;United States;"";"2015";"Electrical and Electronic Engineering; Physics and Astronomy (miscellaneous)"
227;21100423929;"Proceedings - 2015 5th International Conference on Communication Systems and Network Technologies, CSNT 2015";conference and proceedings;"00002015";0,163;-;9;0;277;0;252;274;0,00;0,00;United States;"";"2015";"Physics and Astronomy (miscellaneous)"
228;12389;"Turkish Journal of Physics";journal;"13036122, 13000101";0,160;Q4;22;72;126;2147;58;124;0,34;29,82;Turkey;"Scientific and Technical research Council of Turkey - TUBITAK/Turkiye Bilimsel ve Teknik Arastirma Kurumu";"1994-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
229;20000195056;"Revista Cubana de Fisica";journal;"22247939, 02539268";0,159;Q4;4;29;103;369;19;97;0,24;12,72;Cuba;"Universidad de La Habana";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
230;5800228217;"IFRF Combustion Journal";journal;"1562479X";0,157;Q4;3;0;5;0;2;5;0,67;0,00;Italy;"International Flame Research Foundation";"2007-ongoing";"Chemical Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4); Energy Engineering and Power Technology (Q4); Fuel Technology (Q4); Physics and Astronomy (miscellaneous) (Q4); Pollution (Q4)"
